0,96,58,252,168,NA,Émile Durkheim,https://scholar.google.com//citations?hl=en&user=ZCgFBIMAAAAJ,160668,50525
1,100,71,326,185,NA,Gary Becker,https://scholar.google.com//citations?hl=en&user=nRWVCBQAAAAJ,254925,79423
2,174,102,1195,595,NA,Karl Marx,https://scholar.google.com//citations?hl=en&user=I6dIhHQAAAAJ,304787,103827
3,118,59,253,169,NA,Talcott Parsons,https://scholar.google.com//citations?hl=en&user=rWPcKqkAAAAJ,148550,33722
4,150,90,407,315,NA,Theodor Adorno,https://scholar.google.com//citations?hl=en&user=ODdjS34AAAAJ,167147,56482
5,96,72,130,115,NA,Erving Goffman,https://scholar.google.com//citations?hl=en&user=rahhbn0AAAAJ,280641,99660
6,125,75,449,237,NA,Robert Merton,https://scholar.google.com//citations?hl=en&user=FizCgdoAAAAJ,190665,54320
7,76,38,144,79,NA,James S. Coleman,https://scholar.google.com//citations?hl=en&user=ROl-Dh0AAAAJ,145082,39733
8,98,69,286,205,Lancaster University,John Urry,https://scholar.google.com//citations?hl=en&user=0cUV4OEAAAAJ,93905,39128
9,54,49,72,67,Microsoft,Duncan J Watts,https://scholar.google.com//citations?hl=en&user=LhOAiXMAAAAJ,88417,37464
10,88,68,199,156,King's College London,Nikolas Rose,https://scholar.google.com//citations?hl=en&user=S8KKJMMAAAAJ,87503,35997
11,126,84,440,302,Princeton University,Douglas S. Massey,https://scholar.google.com//citations?hl=en&user=T758DcgAAAAJ,85799,31326
12,118,79,356,224,Princeton University,Alejandro Portes,https://scholar.google.com//citations?hl=en&user=P7ocv9gAAAAJ,135630,43849
13,72,44,189,107,NA,C. Wright Mills,https://scholar.google.com//citations?hl=en&user=dqBi45AAAAAJ,107545,32972
14,106,69,305,207,university of Michigan,Ronald Inglehart,https://scholar.google.com//citations?hl=en&user=r3vC6IAAAAAJ,107328,38879
15,161,86,779,488,NA,Kyle Baronet,https://scholar.google.com//citations?hl=en&user=Bdjo5VMAAAAJ,102356,36984
16,111,81,382,272,"Institute of Education, University of London",Stephen Ball,https://scholar.google.com//citations?hl=en&user=-N2TGKMAAAAJ,76734,34092
17,48,33,74,51,NA,George Herbert Mead,https://scholar.google.com//citations?hl=en&user=cPN5-9cAAAAJ,62860,16831
18,120,70,267,190,UNC-CH,"Glen H. Elder, Jr.",https://scholar.google.com//citations?hl=en&user=9dQbilMAAAAJ,61247,21215
19,132,87,535,447,University of Groningen,"Ormel, Johan (Hans)",https://scholar.google.com//citations?hl=en&user=GMREZbsAAAAJ,75561,35740
20,87,40,242,104,NA,Seymour Martin Lipset,https://scholar.google.com//citations?hl=en&user=ey1py2IAAAAJ,76005,18035
21,78,53,218,141,London School of Economics and Political Science,Craig Calhoun,https://scholar.google.com//citations?hl=en&user=5sfThRcAAAAJ,68061,25179
22,79,44,328,140,University of Bradford,Professor Chrissie Rogers,https://scholar.google.com//citations?hl=en&user=v1sSyF0AAAAJ,63466,18209
23,85,53,196,133,University of North Carolina at Chapel Hill,Howard E. Aldrich,https://scholar.google.com//citations?hl=en&user=Z9VD6-AAAAAJ,59861,19428
24,60,40,105,78,duke university,Nan Lin,https://scholar.google.com//citations?hl=en&user=HpqAmUcAAAAJ,52303,19583
25,37,29,54,37,NA,Harvey Sacks,https://scholar.google.com//citations?hl=en&user=V3CRcrYAAAAJ,56999,17091
