,H_index,H_index_5,I_index,I_index_5,prof_insti,prof_name,tot_citations,tot_citations_5
109,110,94,359,286,Nikhef,Jo van den Brand,60961,45514
110,106,84,428,212,CERN,Fons Rademakers,55262,28234
111,90,79,145,140,Homepage,Samir Guragain,55659,43298
112,96,64,348,266,NA,Sabino Matarrese,55891,38054
113,89,78,140,138,Universidad Industrial de Santander,Fernando Andres Quiñonez Granados,55936,41112
114,127,74,468,322,Fritz-Haber-Institut der Max-Planck,Matthias Scheffler,56189,23283
115,104,68,304,211,Michigan State University,Gary D. Westfall,56657,19176
116,109,79,272,216,NA,Andriy Zatserklyaniy,56696,37369
117,84,69,163,141,INFN,Francesco Broggi,56987,41765
118,126,89,318,237,Stanford University,Peter F. Michelson,57883,30617
119,105,88,481,330,INFN,Alessandro Petrolini,57989,35924
120,119,76,374,282,Pennsylvania State University,Thomas E. Mallouk,51950,23154
121,111,66,437,292,Homepage,Alfio Lazzaro,52356,23630
122,114,83,363,270,NA,S De Pasquale,52570,28436
123,115,107,303,267,INFN,Giuseppe Eugenio  Bruno,52581,42509
124,108,95,257,250,Homepage,Massimiliano Razzano,52588,40196
125,101,94,249,235,Homepage,Raffaele Giordano,53443,43867
126,116,99,275,262,NA,Susanta Pal,53453,33732
127,81,31,258,76,Università dell'Insubria,Massimo Caccia,53509,25769
128,116,64,392,293,University of Minnesota,Frank S Bates,54366,18981
129,101,60,537,333,UNIV Augsburg,Hänggi P,55171,19369
130,101,60,295,216,University of Ottawa,Paul Corkum,49140,19426
131,103,53,300,203,University of Bristol,Michael Berry,49305,14116
132,92,75,266,230,Lawrence Berkeley National Laboratory,Peter Nugent,49736,25476
133,111,77,486,359,Homepage,Angel Rubio,50048,23957
134,110,77,304,257,Purdue University,Fuqiang Wang,50359,25093
135,99,84,433,302,Universidade Federal do Rio de Janeiro,Leandro S de Paula,50622,32322
136,88,63,183,160,Cardiff University,Patrick Sutton,50648,29564
